repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version
pranavsaroha/so100_legos4,pranavsaroha,so100,58,89113,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""legos4""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
pranavsaroha/so100_onelego2,pranavsaroha,so100,30,10072,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""onelego2""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
jpata/so100_pick_place_tangerine,jpata,so100,100,23926,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick and place tangerine""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
pranavsaroha/so100_onelego3,pranavsaroha,so100,40,16316,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Pick up the green lego and drop it in the green bin""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
pranavsaroha/so100_carrot_2,pranavsaroha,so100,63,25234,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick a carrot and put it in the bin""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
pranavsaroha/so100_carrot_5,pranavsaroha,so100,61,24199,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick a carrot and put it in the bin""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
pandaRQ/pick_med_1,pandaRQ,so100,100,44548,30.0,"observation.images.laptop,observation.images.laptop1,observation.images.laptop2",3,"observation.images.laptop,observation.images.laptop1,observation.images.laptop2",True,1,"{""0"": ""pickMED""}",False,False,"action,observation.state,observation.images.laptop,observation.images.laptop1,observation.images.laptop2,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
HITHY/so100_strawberry,HITHY,so100,153,40834,30.0,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""Grasp a strawberry and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
vladfatu/so100_above,vladfatu,so100,50,29900,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grab red object and place it in the box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
koenvanwijk/orange50-1,koenvanwijk,so100,50,7933,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Orange in box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
