Unnamed: 0,repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version,creation_date
3,pollen-robotics/apple_storage,pollen-robotics,reachy2,50,14983,30.0,observation.image,1,observation.image,True,1,"{""0"": ""place the apple in the plate""}",False,False,"observation.state,action,observation.image,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2024-12-04 16:20:36+00:00
7,satvikahuja/mixer_on_off_new_1,satvikahuja,so100,60,41082,30.0,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam",4,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam",True,1,"{""0"": ""on off mixer""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-01-14 18:39:41+00:00
8,ctbfl/sort_battery,ctbfl,koch,100,39728,30.0,"observation.images.laptop,observation.images.phone,observation.images.wrist",3,"observation.images.laptop,observation.images.phone,observation.images.wrist",True,1,"{""0"": ""put the battery into battery_box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-01-17 14:19:54+00:00
13,unitreerobotics/G1_ObjectPlacement_Dataset,unitreerobotics,Unitree_G1,210,98266,30.0,"observation.images.cam_left_high,observation.images.cam_right_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",4,"observation.images.cam_left_high,observation.images.cam_right_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""object placement""}",False,False,"observation.state,action,observation.images.cam_left_high,observation.images.cam_right_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-03-19 02:21:45+00:00
18,lookas/astra_grab_floor_toys_extended_smoothed_base_cmd,lookas,astra_joint,80,113547,30.0,"observation.images.head,observation.images.wrist_left,observation.images.wrist_right",3,"observation.images.head,observation.images.wrist_left,observation.images.wrist_right",True,1,"{""0"": ""Grab the toys on the floor and put them on the tabletop.""}",False,False,"action,observation.state,action.arm_l,action.gripper_l,action.arm_r,action.gripper_r,action.base,action.eef_l,action.eef_r,action.head,observation.state.arm_l,observation.state.gripper_l,observation.state.arm_r,observation.state.gripper_r,observation.state.base,observation.state.eef_l,observation.state.eef_r,observation.state.odom,observation.state.head,timestamp,frame_index,episode_index,index,task_index,observation.images.head,observation.images.wrist_left,observation.images.wrist_right",1000,1,2.0,2025-03-03 19:39:40+00:00
20,andy309/so100_0314_fold_cloths,andy309,so100,50,23720,30.0,"observation.images.top,observation.images.back",2,"observation.images.top,observation.images.back",True,1,"{""0"": ""fold the cloths, use two cameras, two arms.""}",False,False,"action,observation.state,observation.images.top,observation.images.back,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-14 02:30:54+00:00
22,jchun/so100_pickplace_small_20250323_120056,jchun,so100,101,86219,30.0,"observation.images.main,observation.images.cv,observation.images.webcam",3,"observation.images.main,observation.images.cv,observation.images.webcam",True,1,"{""0"": ""Grasp items from white bowl and place in black tray""}",False,False,"action,observation.state,observation.images.main,observation.images.cv,observation.images.webcam,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-23 20:27:30+00:00
84,lerobot/conq_hose_manipulation,lerobot,unknown,139,8277,30.0,"observation.images.frontright_fisheye_image,observation.images.hand_color_image,observation.images.frontleft_fisheye_image",3,"observation.images.frontright_fisheye_image,observation.images.hand_color_image,observation.images.frontleft_fisheye_image",True,3,"{""0"": ""grasp hose"", ""1"": ""pick up the pillow and place it on the couch"", ""2"": ""vacuum the floor""}",False,False,"observation.images.frontright_fisheye_image,observation.images.hand_color_image,observation.images.frontleft_fisheye_image,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,2.0,2024-11-20 15:22:33+00:00
98,lerobot/toto,lerobot,unknown,1003,325699,30.0,observation.images.image,1,observation.images.image,True,1,"{""0"": ""pour""}",False,False,"observation.images.image,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,2,2.0,2025-02-20 17:28:03+00:00
103,aliberts/koch_tutorial,aliberts,koch,50,21267,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Pick the Lego block and drop it in the box on the right.""}",False,False,"observation.state,action,observation.images.laptop,observation.images.phone,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,2.0,2025-02-14 11:47:52+00:00
